Epoch [20/100], Loss: 1.0841, Accuracy: 0.5393
Epoch [30/100], Loss: 1.0847, Accuracy: 0.5393
Epoch [40/100], Loss: 1.0850, Accuracy: 0.5393
Epoch [50/100], Loss: 1.0853, Accuracy: 0.5393
Epoch [60/100], Loss: 1.0854, Accuracy: 0.5393
Epoch [70/100], Loss: 1.0855, Accuracy: 0.5393
Epoch [80/100], Loss: 1.0856, Accuracy: 0.5393
Epoch [90/100], Loss: 1.0856, Accuracy: 0.5393
Epoch [100/100], Loss: 1.0856, Accuracy: 0.5393
learning_rate: 0.0001, batch_size: 200, hidden_size: 500, accuracy: 0.5393
Epoch [10/100], Loss: 1.0672, Accuracy: 0.5156
Epoch [20/100], Loss: 1.0674, Accuracy: 0.5156
Epoch [30/100], Loss: 1.0676, Accuracy: 0.5156
Epoch [40/100], Loss: 1.0677, Accuracy: 0.5156
Epoch [50/100], Loss: 1.0678, Accuracy: 0.5156
Epoch [60/100], Loss: 1.0678, Accuracy: 0.5156
Epoch [70/100], Loss: 1.0678, Accuracy: 0.5156
Epoch [80/100], Loss: 1.0678, Accuracy: 0.5156
Epoch [90/100], Loss: 1.0678, Accuracy: 0.5156
Epoch [100/100], Loss: 1.0678, Accuracy: 0.5156
learning_rate: 0.0001, batch_size: 300, hidden_size: 100, accuracy: 0.5156
Epoch [10/100], Loss: 1.0622, Accuracy: 0.5156
Epoch [20/100], Loss: 1.0628, Accuracy: 0.5156
Epoch [30/100], Loss: 1.0633, Accuracy: 0.5156
Epoch [40/100], Loss: 1.0638, Accuracy: 0.5156
Epoch [50/100], Loss: 1.0642, Accuracy: 0.5156
Epoch [60/100], Loss: 1.0645, Accuracy: 0.5156
Epoch [70/100], Loss: 1.0648, Accuracy: 0.5156
Epoch [80/100], Loss: 1.0650, Accuracy: 0.5156
Epoch [90/100], Loss: 1.0652, Accuracy: 0.5156
Epoch [100/100], Loss: 1.0653, Accuracy: 0.5156
learning_rate: 0.0001, batch_size: 300, hidden_size: 200, accuracy: 0.5156
Epoch [10/100], Loss: 1.0661, Accuracy: 0.5156
Epoch [20/100], Loss: 1.0664, Accuracy: 0.5156
Epoch [30/100], Loss: 1.0667, Accuracy: 0.5156
Epoch [40/100], Loss: 1.0670, Accuracy: 0.5156
Epoch [50/100], Loss: 1.0672, Accuracy: 0.5156
Epoch [60/100], Loss: 1.0673, Accuracy: 0.5156
Epoch [70/100], Loss: 1.0674, Accuracy: 0.5156
Epoch [80/100], Loss: 1.0675, Accuracy: 0.5156
Epoch [90/100], Loss: 1.0675, Accuracy: 0.5156
Epoch [100/100], Loss: 1.0675, Accuracy: 0.5156
learning_rate: 0.0001, batch_size: 300, hidden_size: 300, accuracy: 0.5156
Epoch [10/100], Loss: 1.0645, Accuracy: 0.5156
Epoch [20/100], Loss: 1.0652, Accuracy: 0.5156
Epoch [30/100], Loss: 1.0657, Accuracy: 0.5156
Epoch [40/100], Loss: 1.0661, Accuracy: 0.5156
Epoch [50/100], Loss: 1.0663, Accuracy: 0.5156
Epoch [60/100], Loss: 1.0665, Accuracy: 0.5156
Epoch [70/100], Loss: 1.0667, Accuracy: 0.5156
Epoch [80/100], Loss: 1.0668, Accuracy: 0.5156
Epoch [90/100], Loss: 1.0668, Accuracy: 0.5156
Epoch [100/100], Loss: 1.0669, Accuracy: 0.5156
learning_rate: 0.0001, batch_size: 300, hidden_size: 400, accuracy: 0.5156
Epoch [10/100], Loss: 1.0675, Accuracy: 0.5156
Epoch [20/100], Loss: 1.0678, Accuracy: 0.5156
Epoch [30/100], Loss: 1.0680, Accuracy: 0.5156
Epoch [40/100], Loss: 1.0682, Accuracy: 0.5156
Epoch [50/100], Loss: 1.0683, Accuracy: 0.5156
Epoch [60/100], Loss: 1.0683, Accuracy: 0.5156
Epoch [70/100], Loss: 1.0682, Accuracy: 0.5156
Epoch [80/100], Loss: 1.0682, Accuracy: 0.5156
Epoch [90/100], Loss: 1.0681, Accuracy: 0.5156
Epoch [100/100], Loss: 1.0680, Accuracy: 0.5156
learning_rate: 0.0001, batch_size: 300, hidden_size: 500, accuracy: 0.5156
Epoch [10/100], Loss: 1.0656, Accuracy: 0.5156
Epoch [20/100], Loss: 1.0658, Accuracy: 0.5156
Epoch [30/100], Loss: 1.0660, Accuracy: 0.5156
Epoch [40/100], Loss: 1.0661, Accuracy: 0.5156
Epoch [50/100], Loss: 1.0662, Accuracy: 0.5156
Epoch [60/100], Loss: 1.0663, Accuracy: 0.5156
Epoch [70/100], Loss: 1.0664, Accuracy: 0.5156
Epoch [80/100], Loss: 1.0664, Accuracy: 0.5156
Epoch [90/100], Loss: 1.0665, Accuracy: 0.5156
Epoch [100/100], Loss: 1.0665, Accuracy: 0.5156
learning_rate: 0.0001, batch_size: 400, hidden_size: 100, accuracy: 0.5156
Epoch [10/100], Loss: 1.0643, Accuracy: 0.5156
